,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Is on a trusted provider list,-0.14,***,-0.12,***,-0.11,***,-0.02,,-0.13,***,,,-0.28,***,0.08,,-0.28,***,0.08,,-0.26,***,0.75,***,,,-0.07,*,-0.1,***,-0.1,***,-0.13,***,0.29,***,0.02,,,,0.47,,,,0.07,*,0.28,***,-0.1,***,-0.11,***,,,1.0,***,,,0.3,*,,,-0.22,***,0.07,,-0.13,,0.33,**,0.08,,0.04,,0.04,,0.02,,-0.27,*,0.23,*,-0.07,,-0.05,,,,-0.01,,0.12,,-0.35,,0.22,*,0.33,**,0.42,***,0.23,*,0.08,**,-0.15,,,,-0.11,***,-0.2,***,-0.11,***,-0.13,***,0.15,***,,,-0.01,,-0.11,***,,,-0.15,*,-0.21,,,,-0.04,,,,-0.29,**,0.08,,0.43,***,0.01,,0.03,,-0.23,***,-0.17,,-0.13,,-0.13,,0.06,*,-0.14,***,-0.05,
Languages (query),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License human redeable,0.48,***,0.23,*,0.25,*,0.26,*,0.13,,,,-0.16,,0.23,*,-0.16,,0.23,*,0.1,,0.32,**,,,-0.06,,0.03,,0.29,**,-0.06,,0.01,,-0.39,***,,,,,,,-0.15,,-0.06,,0.17,,0.27,**,,,0.3,*,,,1.0,***,,,0.63,***,0.21,,-0.08,,0.37,***,-0.08,,0.35,***,0.34,***,-0.29,**,-0.45,***,0.11,,0.37,***,0.39,***,,,0.48,***,0.45,***,-0.41,,0.51,***,0.42,***,0.33,***,0.48,***,0.0,,-0.13,,,,0.2,*,0.18,,0.04,,-0.08,,0.1,,,,0.48,***,-0.17,,,,,,-0.5,***,,,0.06,,,,-0.11,,0.11,,-0.01,,-0.15,,0.15,,0.32,**,-0.14,,0.18,,0.18,,0.52,***,-0.09,,0.55,***
License machine redeable (metadata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensing,0.44,***,0.45,***,0.17,***,0.19,*,0.18,***,,,0.28,***,0.28,***,0.28,***,0.28,***,0.27,***,0.12,***,,,0.09,***,0.18,***,0.2,***,0.22,***,0.02,,-0.22,**,,,-0.19,,,,-0.05,*,0.1,***,0.17,***,0.2,***,,,-0.22,***,,,0.63,***,,,1.0,***,0.05,,-0.3,***,0.25,**,-0.2,*,0.24,**,0.23,**,-0.02,,-0.32,***,0.31,***,0.28,***,0.33,***,,,0.69,***,0.14,,-0.03,,0.43,***,0.46,***,0.38,***,0.37,***,0.28,***,-0.12,,,,0.16,***,0.08,***,0.19,***,0.18,***,0.1,***,,,0.69,***,0.16,***,,,0.24,***,-0.38,***,,,-0.0,,,,-0.16,,0.25,**,0.06,,0.03,,0.0,,0.15,***,-0.2,*,0.13,,0.13,,0.25,***,0.18,***,0.18,***
Limited,0.44,***,0.31,***,0.04,,0.16,,0.0,,,,-0.09,,0.12,,-0.09,,0.12,,-0.35,***,0.05,,,,-0.17,,0.17,,0.23,*,0.1,,0.12,,-0.15,,,,,,,,0.23,**,-0.19,*,0.0,,0.07,,,,0.07,,,,0.21,,,,0.05,,1.0,***,0.03,,0.23,*,0.26,**,-0.12,,-0.14,,-0.37,***,-0.29,**,-0.17,,-0.13,,-0.14,,,,0.14,,0.35,***,0.53,***,0.31,***,0.29,**,0.36,***,0.44,***,0.2,*,0.27,**,,,-0.1,,0.03,,0.14,,-0.15,,0.16,,,,0.13,,0.01,,,,,,0.14,,,,0.18,*,,,-0.11,,0.03,,-0.35,***,-0.07,,0.27,**,0.04,,0.02,,0.37,***,0.37,***,0.12,,-0.17,,0.22,*
Max length URIs (object),-0.41,***,-0.28,***,-0.36,***,-0.21,*,-0.11,,,,-0.06,,-0.26,**,-0.06,,-0.26,**,-0.18,*,-0.43,***,,,0.08,,0.26,**,-0.18,*,0.14,,-0.29,***,0.29,**,,,0.36,*,,,0.15,,0.03,,-0.08,,-0.06,,,,-0.13,,,,-0.08,,,,-0.3,***,0.03,,1.0,***,0.07,,0.49,***,0.15,,0.12,,-0.08,,0.24,*,-0.42,***,0.12,,0.02,,,,-0.08,,0.14,,-0.48,***,-0.57,***,-0.31,***,-0.3,***,-0.41,***,-0.16,,0.24,**,,,0.4,***,-0.15,,0.5,***,0.3,***,-0.32,***,,,-0.08,,0.13,,,,,,0.33,***,,,-0.26,**,,,0.04,,-0.63,***,-0.08,,-0.06,,-0.54,***,-0.28,***,0.13,,-0.0,,-0.0,,-0.09,,0.48,***,-0.22,**
Max length URIs (predicate),0.48,***,0.08,,-0.03,,0.18,,-0.06,,,,-0.06,,0.37,***,-0.06,,0.37,***,-0.12,,0.2,*,,,-0.04,,-0.2,*,0.27,**,0.16,,-0.08,,-0.36,***,,,0.63,,,,0.04,,-0.07,,0.2,*,-0.02,,,,0.33,**,,,0.37,***,,,0.25,**,0.23,*,0.07,,1.0,***,0.23,*,0.05,,0.04,,-0.34,***,-0.47,***,0.04,,-0.06,,-0.09,,,,0.24,*,0.45,***,0.32,,0.41,***,0.69,***,0.41,***,0.48,***,0.01,,0.26,*,,,-0.04,,0.25,**,-0.06,,-0.41,***,0.11,,,,0.24,*,-0.12,,,,,,0.08,,,,0.04,,,,-0.55,***,0.04,,-0.19,,0.11,,-0.08,,0.32,***,-0.12,,0.42,***,0.42,***,0.37,***,-0.06,,0.24,*
Max length URIs (subject),-0.08,,-0.03,,-0.1,,-0.02,,0.18,*,,,0.16,,0.07,,0.16,,0.07,,-0.37,***,-0.33,***,,,0.02,,0.34,***,0.23,**,0.29,***,0.01,,-0.04,,,,0.28,,,,0.27,**,-0.01,,-0.13,,0.12,,,,0.08,,,,-0.08,,,,-0.2,*,0.26,**,0.49,***,0.23,*,1.0,***,-0.16,,-0.19,*,-0.36,***,0.16,,-0.36,***,-0.17,*,-0.21,*,,,0.11,,0.2,*,-0.26,,-0.19,*,-0.02,,-0.06,,-0.08,,0.13,,0.25,**,,,0.07,,-0.15,,0.44,***,-0.04,,-0.03,,,,0.1,,0.11,,,,,,0.59,***,,,0.06,,,,0.09,,-0.3,***,-0.46,***,0.08,,-0.23,**,-0.13,,0.08,,0.27,**,0.27,**,-0.0,,0.22,**,0.02,
MaxTPNoOff,0.11,,0.17,*,0.12,,0.08,,-0.09,,,,-0.26,***,-0.01,,-0.26,***,-0.01,,0.02,,0.18,*,,,0.01,,0.06,,0.12,,0.05,,0.04,,0.21,*,,,-0.01,,,,0.0,,0.02,,-0.05,,0.11,,,,0.04,,,,0.35,***,,,0.24,**,-0.12,,0.15,,0.05,,-0.16,,1.0,***,0.97,***,0.15,,-0.27,**,-0.08,,0.91,***,0.85,***,,,0.27,***,0.22,**,-0.31,*,0.17,*,0.1,,0.12,,0.11,,0.01,,-0.1,,,,0.81,***,0.12,,0.24,**,0.14,,0.05,,,,0.27,***,-0.28,***,,,,,-0.24,**,,,-0.15,,,,-0.23,**,0.01,,0.19,*,0.04,,-0.27,***,0.09,,-0.28,***,-0.04,,-0.04,,0.33,***,0.16,*,0.03,
Maximum throughput,0.11,,0.13,,0.13,,0.08,,-0.08,,,,-0.25,***,-0.01,,-0.25,***,-0.01,,0.05,,0.16,*,,,-0.01,,0.05,,0.12,,0.03,,0.03,,0.18,*,,,-0.04,,,,-0.03,,0.0,,-0.05,,0.12,,,,0.04,,,,0.34,***,,,0.23,**,-0.14,,0.12,,0.04,,-0.19,*,0.97,***,1.0,***,0.13,,-0.26,**,-0.1,,0.91,***,0.86,***,,,0.27,***,0.21,**,-0.31,*,0.17,*,0.09,,0.11,,0.11,,-0.03,,-0.08,,,,0.8,***,0.14,,0.22,**,0.13,,0.04,,,,0.27,***,-0.29,***,,,,,-0.26,**,,,-0.13,,,,-0.23,**,0.02,,0.18,*,0.04,,-0.25,**,0.1,,-0.29,***,-0.03,,-0.03,,0.3,***,0.16,*,0.05,
Min length URIs (object),-0.27,**,0.1,,0.02,,-0.16,,-0.17,*,,,-0.17,*,-0.18,*,-0.17,*,-0.18,*,0.27,**,0.08,,,,0.17,*,-0.14,,-0.35,***,-0.3,***,-0.01,,0.29,**,,,0.76,***,,,-0.24,**,0.19,*,0.05,,-0.27,***,,,0.02,,,,-0.29,**,,,-0.02,,-0.37,***,-0.08,,-0.34,***,-0.36,***,0.15,,0.13,,1.0,***,0.17,,0.54,***,0.13,,0.07,,,,-0.4,***,-0.33,***,0.18,,-0.16,,-0.18,*,-0.15,,-0.27,**,-0.05,,-0.53,***,,,0.09,,0.08,,-0.2,*,0.17,*,0.01,,,,-0.4,***,-0.09,,,,,,-0.19,*,,,-0.31,***,,,0.04,,0.14,,0.32,***,-0.42,***,-0.15,,0.03,,-0.09,,-0.49,***,-0.49,***,0.03,,-0.09,,-0.4,***
Min length URIs (predicate),-0.56,***,0.01,,-0.05,,-0.52,***,0.1,,,,0.07,,-0.44,***,0.07,,-0.44,***,-0.03,,-0.37,***,,,0.13,,0.3,**,-0.07,,0.0,,0.08,,0.38,***,,,-0.4,,,,0.0,,0.15,,-0.29,**,0.05,,,,-0.27,*,,,-0.45,***,,,-0.32,***,-0.29,**,0.24,*,-0.47,***,0.16,,-0.27,**,-0.26,**,0.17,,1.0,***,-0.02,,-0.16,,-0.14,,,,-0.24,*,-0.24,*,0.13,,-0.65,***,-0.54,***,-0.48,***,-0.56,***,0.17,,0.15,,,,0.03,,-0.34,***,0.32,***,0.41,***,-0.03,,,,-0.24,*,0.17,,,,,,0.22,*,,,-0.0,,,,0.45,***,-0.23,*,-0.1,,0.0,,-0.22,*,-0.51,***,0.17,,-0.16,,-0.16,,-0.49,***,-0.04,,-0.47,***
Min length URIs (subject),0.1,,0.28,***,0.38,***,0.21,*,0.15,,,,-0.08,,0.17,,-0.08,,0.17,,0.16,,0.33,***,,,0.11,,-0.25,**,0.04,,-0.13,,0.3,***,-0.27,**,,,0.61,***,,,-0.2,*,0.09,,0.26,**,0.0,,,,0.23,*,,,0.11,,,,0.31,***,-0.17,,-0.42,***,0.04,,-0.36,***,-0.08,,-0.1,,0.54,***,-0.02,,1.0,***,-0.05,,-0.05,,,,0.0,,-0.32,***,0.08,,0.29,***,0.39,***,0.17,*,0.1,,0.24,**,-0.52,***,,,-0.25,**,0.25,**,-0.3,***,-0.13,,0.34,***,,,0.01,,-0.07,,,,,,-0.2,*,,,-0.18,*,,,-0.08,,0.43,***,0.15,,-0.12,,0.19,*,0.41,***,-0.04,,-0.31,***,-0.31,***,0.27,**,-0.31,***,0.0,
MinTPNoOff,0.13,,0.21,**,0.25,**,0.1,,0.09,,,,-0.26,***,-0.05,,-0.26,***,-0.05,,0.06,,0.11,,,,0.02,,0.13,,0.23,**,0.05,,0.14,,0.08,,,,-0.14,,,,-0.02,,0.04,,-0.09,,0.21,**,,,-0.07,,,,0.37,***,,,0.28,***,-0.13,,0.12,,-0.06,,-0.17,*,0.91,***,0.91,***,0.13,,-0.16,,-0.05,,1.0,***,0.92,***,,,0.38,***,0.2,*,-0.35,*,0.19,*,0.13,,0.06,,0.13,,0.05,,-0.09,,,,0.78,***,0.06,,0.22,**,0.08,,0.11,,,,0.38,***,-0.32,***,,,,,-0.39,***,,,-0.13,,,,-0.03,,0.04,,0.17,*,0.07,,-0.22,**,0.12,,-0.32,***,-0.02,,-0.02,,0.31,***,0.19,*,0.14,
Minimum throughput,0.15,,0.21,**,0.28,***,0.14,,0.15,,,,-0.26,***,0.0,,-0.26,***,0.0,,0.09,,0.17,*,,,-0.02,,0.13,,0.26,***,0.04,,0.17,*,0.0,,,,-0.18,,,,-0.05,,-0.01,,-0.05,,0.26,***,,,-0.05,,,,0.39,***,,,0.33,***,-0.14,,0.02,,-0.09,,-0.21,*,0.85,***,0.86,***,0.07,,-0.14,,-0.05,,0.92,***,1.0,***,,,0.41,***,0.17,*,-0.39,**,0.25,**,0.15,,0.06,,0.15,,0.05,,-0.1,,,,0.71,***,0.07,,0.19,*,0.03,,0.13,,,,0.42,***,-0.32,***,,,,,-0.41,***,,,-0.13,,,,0.03,,0.09,,0.19,*,0.08,,-0.14,,0.16,*,-0.32,***,-0.02,,-0.02,,0.33,***,0.12,,0.2,**
Modification date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized,0.61,***,0.51,***,0.51,***,0.48,***,0.48,***,,,0.59,***,0.35,***,0.59,***,0.35,***,0.59,***,0.36,***,,,0.21,***,0.48,***,0.47,***,0.5,***,0.1,***,-0.52,***,,,-0.43,**,,,-0.18,***,0.13,***,0.47,***,0.47,***,,,-0.01,,,,0.48,***,,,0.69,***,0.14,,-0.08,,0.24,*,0.11,,0.27,***,0.27,***,-0.4,***,-0.24,*,0.0,,0.38,***,0.41,***,,,1.0,***,0.23,**,0.02,,0.57,***,0.5,***,0.46,***,0.54,***,0.34,***,0.12,,,,0.51,***,0.2,***,0.47,***,0.53,***,0.17,***,,,1.0,***,0.51,***,,,0.84,***,-0.37,***,,,0.19,*,,,0.11,,0.34,***,-0.14,,0.31,***,0.07,,0.38,***,-0.01,,0.24,**,0.24,**,0.59,***,0.53,***,0.28,***
Number of blank nodes,0.35,***,0.18,*,-0.01,,0.15,,-0.0,,,,-0.07,,0.11,,-0.07,,0.11,,-0.07,,0.06,,,,-0.16,*,0.23,**,0.22,**,0.11,,0.03,,0.01,,,,0.2,,,,0.1,,-0.13,,-0.09,,-0.09,,,,0.12,,,,0.45,***,,,0.14,,0.35,***,0.14,,0.45,***,0.2,*,0.22,**,0.21,**,-0.33,***,-0.24,*,-0.32,***,0.2,*,0.17,*,,,0.23,**,1.0,***,0.01,,0.19,*,0.33,***,0.36,***,0.35,***,0.1,,0.53,***,,,0.23,**,0.06,,0.24,**,-0.04,,0.07,,,,0.22,**,-0.1,,,,,,0.28,**,,,0.23,**,,,-0.39,***,-0.22,*,-0.08,,0.04,,-0.24,**,0.03,,-0.13,,0.23,**,0.23,**,0.3,***,0.14,,0.09,
Number of entities,0.67,***,0.48,***,0.47,***,-0.13,,0.1,,,,-0.38,**,-0.11,,-0.38,**,-0.11,,-0.52,***,-0.11,,,,-0.18,,0.65,***,0.63,***,0.12,,0.4,**,0.36,*,,,0.04,,,,0.38,**,-0.18,,-0.43,**,0.37,**,,,-0.35,,,,-0.41,,,,-0.03,,0.53,***,-0.48,***,0.32,,-0.26,,-0.31,*,-0.31,*,0.18,,0.13,,0.08,,-0.35,*,-0.39,**,,,0.02,,0.01,,1.0,***,0.5,***,0.04,,0.3,*,0.66,***,0.41,**,0.14,,,,-0.23,,-0.23,,-0.18,,-0.43,**,0.46,***,,,0.02,,0.18,,,,-0.08,,0.19,,,,0.26,,,,0.14,,0.52,***,-0.62,***,,,0.67,***,0.07,,0.24,,0.5,***,0.5,***,-0.54,***,-0.82,***,0.25,
Number of labels/comments present on the data,0.88,***,0.51,***,0.6,***,0.52,***,0.45,***,,,-0.09,,0.54,***,-0.09,,0.54,***,-0.13,,0.58,***,,,-0.09,,0.05,,0.66,***,0.29,***,0.54,***,-0.63,***,,,-0.33,*,,,0.1,,-0.09,,0.32,***,0.55,***,,,0.22,*,,,0.51,***,,,0.43,***,0.31,***,-0.57,***,0.41,***,-0.19,*,0.17,*,0.17,*,-0.16,,-0.65,***,0.29,***,0.19,*,0.25,**,,,0.57,***,0.19,*,0.5,***,1.0,***,0.72,***,0.75,***,0.88,***,0.38,***,-0.31,***,,,-0.1,,0.27,***,-0.15,,-0.49,***,0.58,***,,,0.57,***,-0.17,*,,,,,-0.28,**,,,0.16,,,,-0.06,,0.72,***,-0.17,,0.08,,0.44,***,0.7,***,-0.17,*,0.23,**,0.23,**,0.58,***,-0.26,***,0.68,***
Number of property,0.71,***,0.42,***,0.47,***,0.4,***,0.35,***,,,-0.22,**,0.42,***,-0.22,**,0.42,***,-0.08,,0.54,***,,,-0.02,,-0.01,,0.64,***,0.28,***,0.38,***,-0.52,***,,,0.52,**,,,0.01,,-0.02,,0.3,***,0.31,***,,,0.33,**,,,0.42,***,,,0.46,***,0.29,**,-0.31,***,0.69,***,-0.02,,0.1,,0.09,,-0.18,*,-0.54,***,0.39,***,0.13,,0.15,,,,0.5,***,0.33,***,0.04,,0.72,***,1.0,***,0.74,***,0.71,***,0.32,***,-0.24,**,,,-0.04,,0.21,*,-0.12,,-0.47,***,0.45,***,,,0.5,***,-0.32,***,,,,,-0.33,***,,,-0.01,,,,-0.37,***,0.47,***,-0.12,,0.27,**,0.11,,0.55,***,-0.31,***,0.32,***,0.32,***,0.51,***,-0.18,*,0.49,***
Number of samAs chains,0.72,***,0.42,***,0.35,***,0.31,***,0.34,***,,,-0.01,,0.47,***,-0.01,,0.47,***,-0.08,,0.58,***,,,0.01,,0.05,,0.51,***,0.28,***,0.39,***,-0.38,***,,,0.82,***,,,0.08,,0.01,,0.52,***,0.35,***,,,0.42,***,,,0.33,***,,,0.38,***,0.36,***,-0.3,***,0.41,***,-0.06,,0.12,,0.11,,-0.15,,-0.48,***,0.17,*,0.06,,0.06,,,,0.46,***,0.36,***,0.3,*,0.75,***,0.74,***,1.0,***,0.72,***,0.37,***,-0.03,,,,-0.07,,0.29,***,-0.01,,-0.43,***,0.46,***,,,0.46,***,-0.09,,,,,,-0.1,,,,0.23,**,,,-0.26,**,0.44,***,-0.17,*,0.22,*,0.18,*,0.56,***,-0.09,,0.25,**,0.25,**,0.55,***,-0.11,,0.45,***
Number of triples (query),1.0,***,0.58,***,0.52,***,0.47,***,0.43,***,,,-0.11,,0.49,***,-0.11,,0.49,***,-0.24,**,0.51,***,,,-0.17,*,0.15,,0.66,***,0.3,***,0.48,***,-0.6,***,,,-0.42,*,,,0.13,,-0.17,*,0.18,*,0.54,***,,,0.23,*,,,0.48,***,,,0.37,***,0.44,***,-0.41,***,0.48,***,-0.08,,0.11,,0.11,,-0.27,**,-0.56,***,0.1,,0.13,,0.15,,,,0.54,***,0.35,***,0.66,***,0.88,***,0.71,***,0.72,***,1.0,***,0.43,***,-0.08,,,,-0.07,,0.26,**,-0.1,,-0.5,***,0.54,***,,,0.54,***,-0.1,,,,,,-0.22,*,,,0.31,***,,,-0.1,,0.57,***,-0.38,***,0.17,,0.51,***,0.6,***,-0.09,,0.35,***,0.35,***,0.49,***,-0.29,***,0.65,***
Number of triples linked,0.6,***,0.64,***,0.13,***,0.1,,0.16,***,,,0.13,***,0.27,***,0.13,***,0.27,***,0.01,,0.32,***,,,0.16,***,0.17,***,0.18,***,0.19,***,0.69,***,-0.31,***,,,-0.03,,,,0.15,***,0.61,***,0.14,***,0.17,***,,,0.08,**,,,0.0,,,,0.28,***,0.2,*,-0.16,,0.01,,0.13,,0.01,,-0.03,,-0.05,,0.17,,0.24,**,0.05,,0.05,,,,0.34,***,0.1,,0.41,**,0.38,***,0.32,***,0.37,***,0.43,***,1.0,***,-0.03,,,,0.13,***,0.15,***,0.18,***,0.13,***,0.76,***,,,0.34,***,0.13,***,,,0.25,***,0.07,,,,0.13,,,,0.19,*,0.24,**,-0.29,***,0.15,,0.08,,0.21,***,0.05,,0.13,,0.13,,0.08,***,0.16,***,0.12,***
Number of triples updated,-0.08,,-0.05,,-0.26,**,-0.35,***,0.03,,,,-0.03,,-0.16,,-0.03,,-0.16,,-0.19,*,-0.27,**,,,-0.1,,0.32,***,0.07,,0.31,***,-0.15,,0.29,**,,,-0.0,,,,0.08,,-0.12,,-0.11,,0.04,,,,-0.15,,,,-0.13,,,,-0.12,,0.27,**,0.24,**,0.26,*,0.25,**,-0.1,,-0.08,,-0.53,***,0.15,,-0.52,***,-0.09,,-0.1,,,,0.12,,0.53,***,0.14,,-0.31,***,-0.24,**,-0.03,,-0.08,,-0.03,,1.0,***,,,0.16,,-0.17,,0.53,***,0.06,,-0.18,*,,,0.12,,0.04,,,,,,0.3,**,,,0.35,***,,,-0.11,,-0.41,***,-0.24,**,0.36,***,-0.21,*,-0.31,***,0.04,,0.41,***,0.41,***,-0.19,*,0.17,,-0.04,
Ontology Hijacking problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,0.4,***,0.16,***,0.99,***,-0.1,,0.89,***,,,0.34,***,-0.16,*,0.34,***,-0.16,*,0.53,***,-0.07,**,,,0.39,***,0.94,***,0.9,***,0.81,***,-0.0,,0.33,***,,,0.06,,,,-0.12,***,-0.14,***,0.91,***,0.9,***,,,-0.11,***,,,0.2,*,,,0.16,***,-0.1,,0.4,***,-0.04,,0.07,,0.81,***,0.8,***,0.09,,0.03,,-0.25,**,0.78,***,0.71,***,,,0.51,***,0.23,**,-0.23,,-0.1,,-0.04,,-0.07,,-0.07,,0.13,***,0.16,,,,1.0,***,-0.03,,0.91,***,0.95,***,0.06,*,,,0.51,***,0.99,***,,,0.96,***,-0.02,,,,-0.14,,,,-0.11,,-0.31,***,0.04,,0.08,,-0.41,***,0.28,***,-0.29,***,0.04,,0.04,,0.51,***,0.9,***,0.51,***
Presence of example,0.15,***,0.16,***,-0.03,,0.25,**,-0.02,,,,0.13,***,0.25,**,0.13,***,0.25,**,0.01,,-0.05,*,,,-0.0,,-0.03,,-0.01,,0.0,,0.17,***,-0.13,,,,-0.07,,,,0.06,*,-0.03,,-0.02,,-0.01,,,,-0.2,***,,,0.18,,,,0.08,***,0.03,,-0.15,,0.25,**,-0.15,,0.12,,0.14,,0.08,,-0.34,***,0.25,**,0.06,,0.07,,,,0.2,***,0.06,,-0.23,,0.27,***,0.21,*,0.29,***,0.26,**,0.15,***,-0.17,,,,-0.03,,1.0,***,-0.01,,-0.04,,0.26,***,,,0.2,***,-0.03,,,,-0.14,**,-0.15,,,,0.0,,,,-0.26,**,0.34,***,0.17,*,-0.05,,0.05,,0.91,***,0.1,,-0.11,,-0.11,,-0.14,***,-0.01,,0.01,
Rep. Conciseness,0.39,***,0.2,***,0.91,***,-0.32,***,0.83,***,,,0.3,***,-0.22,**,0.3,***,-0.22,**,0.48,***,-0.05,*,,,0.43,***,0.93,***,0.94,***,0.85,***,0.04,,0.42,***,,,0.44,**,,,-0.09,***,-0.12,***,0.9,***,0.99,***,,,-0.11,***,,,0.04,,,,0.19,***,0.14,,0.5,***,-0.06,,0.44,***,0.24,**,0.22,**,-0.2,*,0.32,***,-0.3,***,0.22,**,0.19,*,,,0.47,***,0.24,**,-0.18,,-0.15,,-0.12,,-0.01,,-0.1,,0.18,***,0.53,***,,,0.91,***,-0.01,,1.0,***,0.86,***,0.09,***,,,0.47,***,0.9,***,,,0.84,***,0.19,*,,,0.09,,,,0.14,,-0.41,***,-0.12,,-0.03,,-0.49,***,0.3,***,0.05,,-0.01,,-0.01,,0.48,***,0.82,***,0.56,***
Interoperability,0.4,***,0.17,***,0.95,***,-0.54,***,0.85,***,,,0.37,***,-0.66,***,0.37,***,-0.66,***,0.54,***,-0.07,**,,,0.39,***,0.9,***,0.86,***,0.87,***,0.01,,0.65,***,,,0.16,,,,-0.11,***,-0.13,***,0.87,***,0.86,***,,,-0.13,***,,,-0.08,,,,0.18,***,-0.15,,0.3,***,-0.41,***,-0.04,,0.14,,0.13,,0.17,*,0.41,***,-0.13,,0.08,,0.03,,,,0.53,***,-0.04,,-0.43,**,-0.49,***,-0.47,***,-0.43,***,-0.5,***,0.13,***,0.06,,,,0.95,***,-0.04,,0.86,***,1.0,***,0.06,*,,,0.53,***,0.95,***,,,0.96,***,0.1,,,,-0.0,,,,-0.01,,-0.47,***,0.26,**,-0.3,***,-0.44,***,0.29,***,0.06,,-0.24,**,-0.24,**,0.54,***,0.95,***,0.46,***
